
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.4.4)

2025-08-16T22:55:09.036+05:30  INFO 53432 --- [notification-service] [           main] c.e.n.NotificationServiceApplication     : Starting NotificationServiceApplication v0.0.1-SNAPSHOT using Java 21.0.6 with PID 53432 (/Users/samadeepsengupta/Library/Mobile Documents/com~apple~CloudDocs/Projects/kafka/notification-service/target/notification-service-0.0.1-SNAPSHOT.jar started by samadeepsengupta in /Users/samadeepsengupta/Library/Mobile Documents/com~apple~CloudDocs/Projects/kafka/notification-service)
2025-08-16T22:55:09.038+05:30  INFO 53432 --- [notification-service] [           main] c.e.n.NotificationServiceApplication     : No active profile set, falling back to 1 default profile: "default"
2025-08-16T22:55:09.883+05:30  INFO 53432 --- [notification-service] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2025-08-16T22:55:09.891+05:30  INFO 53432 --- [notification-service] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-08-16T22:55:09.892+05:30  INFO 53432 --- [notification-service] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-08-16T22:55:09.909+05:30  INFO 53432 --- [notification-service] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-08-16T22:55:09.910+05:30  INFO 53432 --- [notification-service] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 833 ms
2025-08-16T22:55:10.346+05:30  INFO 53432 --- [notification-service] [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint beneath base path '/actuator'
2025-08-16T22:55:10.685+05:30  WARN 53432 --- [notification-service] [service-admin-0] o.a.k.clients.admin.KafkaAdminClient     : [AdminClient clientId=notification-service-admin-0] The DescribeTopicPartitions API is not supported, using Metadata API to describe topics.
2025-08-16T22:55:10.706+05:30  INFO 53432 --- [notification-service] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path '/'
2025-08-16T22:55:10.869+05:30  INFO 53432 --- [notification-service] [           main] c.e.n.NotificationServiceApplication     : Started NotificationServiceApplication in 2.085 seconds (process running for 2.38)
2025-08-16T22:55:15.532+05:30  INFO 53432 --- [notification-service] [nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-16T22:55:15.533+05:30  INFO 53432 --- [notification-service] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2025-08-16T22:55:15.534+05:30  INFO 53432 --- [notification-service] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
